raw_log,isFraud
[2026-01-08 17:00:00] EVENT=TRANSACTION USER=C1072599973 ACTION=CASH_IN AMOUNT=192669.65 DEVICE=mobile OS=Android BROWSER=Edge IP=168.47.216.237 CITY=Delhi LOGIN_METHOD=otp FAILED_LOGINS=0 NEW_DEVICE=0 VELOCITY=0.59 STATUS=SUCCESS,0
[2026-01-11 20:00:00] EVENT=TRANSACTION USER=C513440986 ACTION=CASH_OUT AMOUNT=125122.34 DEVICE=desktop OS=Windows BROWSER=Safari IP=113.142.49.60 CITY=Mumbai LOGIN_METHOD=otp FAILED_LOGINS=1 NEW_DEVICE=0 VELOCITY=1.2 RESULT=OK,0
[2026-01-10 14:00:00] EVENT=TRANSACTION USER=C420586891 ACTION=CASH_OUT AMOUNT=373469.53 DEVICE=mobile OS=Android BROWSER=Chrome IP=83.135.11.132 CITY=Mumbai LOGIN_METHOD=otp FAILED_LOGINS=1 NEW_DEVICE=1 VELOCITY=0.8 RESULT=OK,0
[2026-01-01 16:00:00] EVENT=TRANSACTION USER=C1848433875 ACTION=CASH_OUT AMOUNT=124197.42 DEVICE=desktop OS=Linux BROWSER=Chrome IP=213.226.116.183 CITY=Delhi LOGIN_METHOD=password FAILED_LOGINS=1 NEW_DEVICE=0 VELOCITY=2.48 STATUS=SUCCESS,0
[2026-01-06 18:00:00] EVENT=TRANSACTION USER=C1431374408 ACTION=CASH_IN AMOUNT=109384.86 DEVICE=desktop OS=Windows BROWSER=Chrome IP=176.170.205.173 CITY=Chennai LOGIN_METHOD=otp FAILED_LOGINS=2 NEW_DEVICE=0 VELOCITY=2.83 STATUS=SUCCESS,0
[2026-01-09 12:00:00] EVENT=TRANSACTION USER=C336509755 ACTION=PAYMENT AMOUNT=15587.4 DEVICE=desktop OS=Android BROWSER=Edge IP=244.59.15.21 CITY=Bangalore LOGIN_METHOD=otp FAILED_LOGINS=2 NEW_DEVICE=0 VELOCITY=2.53 RESULT=OK,0
[2026-01-01 09:00:00] EVENT=TRANSACTION USER=C1868677344 ACTION=PAYMENT AMOUNT=12214.44 DEVICE=mobile OS=Android BROWSER=Chrome IP=172.250.97.51 CITY=Mumbai LOGIN_METHOD=otp FAILED_LOGINS=0 NEW_DEVICE=0 VELOCITY=2.75 RESULT=OK,0
[2026-01-13 18:00:00] EVENT=TRANSACTION USER=C1134492700 ACTION=PAYMENT AMOUNT=2238.98 DEVICE=desktop OS=Windows BROWSER=Chrome IP=255.19.154.75 CITY=Delhi LOGIN_METHOD=otp FAILED_LOGINS=2 NEW_DEVICE=0 VELOCITY=0.45 STATUS=SUCCESS,0
[2026-01-12 13:00:00] EVENT=TRANSACTION USER=C1371438225 ACTION=CASH_OUT AMOUNT=30028.33 DEVICE=mobile OS=Windows BROWSER=Chrome IP=215.6.73.122 CITY=Chennai LOGIN_METHOD=otp FAILED_LOGINS=1 NEW_DEVICE=0 VELOCITY=2.68 RESULT=OK,0
[2026-01-11 15:00:00] EVENT=TRANSACTION USER=C1451507495 ACTION=CASH_OUT AMOUNT=253840.57 DEVICE=desktop OS=Linux BROWSER=Chrome IP=7.78.171.104 CITY=Bangalore LOGIN_METHOD=password FAILED_LOGINS=1 NEW_DEVICE=1 VELOCITY=1.59 RESULT=OK,0
[2026-01-06 12:00:00] EVENT=TRANSACTION USER=C1918009037 ACTION=DEBIT AMOUNT=4984.73 DEVICE=mobile OS=iOS BROWSER=Chrome IP=175.140.174.199 CITY=Delhi LOGIN_METHOD=password FAILED_LOGINS=0 NEW_DEVICE=1 VELOCITY=0.16 RESULT=OK,0
