raw_log,isFraud
[2088-190-158 81:44:-20] EVENT=TRANSACTION USER=C1194700432 ACTION=CASH_OUT AMOUNT=330412.73 DEVICE=desktop OS=iOS BROWSER=Safari IP=73.76.230.327 CITY=Hyderabad LOGIN_METHOD=otp FAILED_LOGINS=0 NEW_DEVICE=1 VELOCITY=1.76 RESULT=OK,0
[2091-96--10 87:174:145] EVENT=TRANSACTION USER=C1876623850 ACTION=CASH_IN AMOUNT=112672.122 DEVICE=desktop OS=Android BROWSER=Safari IP=245.206.154.212 CITY=Mumbai LOGIN_METHOD=otp FAILED_LOGINS=0 NEW_DEVICE=1 VELOCITY=0.197 RESULT=OK,0
[2026-01-12 22:00:00] EVENT=TRANSACTION USER=C1491454771 ACTION=PAYMENT AMOUNT=10217.72 DEVICE=mobile OS=iOS BROWSER=Chrome IP=108.182.2.251 CITY=Mumbai LOGIN_METHOD=password FAILED_LOGINS=0 NEW_DEVICE=0 VELOCITY=1.81 RESULT=OK,0
[2151-107-186 68:-26:167] EVENT=TRANSACTION USER=C2107588670 ACTION=CASH_OUT AMOUNT=167475.76 DEVICE=mobile OS=Android BROWSER=Firefox IP=96.439.18.38 CITY=Mumbai LOGIN_METHOD=password FAILED_LOGINS=1 NEW_DEVICE=0 VELOCITY=0.199 RESULT=OK,0
[2211-183--17 171:139:-45] EVENT=TRANSACTION USER=C782625198 ACTION=CASH_OUT AMOUNT=83187.59 DEVICE=mobile OS=Android BROWSER=Chrome IP=190.234.305.98 CITY=Bangalore LOGIN_METHOD=otp FAILED_LOGINS=0 NEW_DEVICE=1 VELOCITY=1.7 RESULT=OK,0
[2026-01-18 00:00:00] EVENT=TRANSACTION USER=C1388738516 ACTION=CASH_IN AMOUNT=210356.86 DEVICE=mobile OS=Android BROWSER=Safari IP=106.206.27.119 CITY=Chennai LOGIN_METHOD=password FAILED_LOGINS=0 NEW_DEVICE=1 VELOCITY=0.85 RESULT=OK,0
[2047-1-61 -21:56:157] EVENT=TRANSACTION USER=C633635438 ACTION=CASH_OUT AMOUNT=3707342.35 DEVICE=desktop OS=Linux BROWSER=Safari IP=340.337.283.87 CITY=Bangalore LOGIN_METHOD=otp FAILED_LOGINS=5 NEW_DEVICE=1 VELOCITY=5.168 STATUS=SUCCESS,0
[2026-01-01 18:00:00] EVENT=TRANSACTION USER=C1874468859 ACTION=CASH_OUT AMOUNT=32204.61 DEVICE=desktop OS=iOS BROWSER=Safari IP=187.24.164.160 CITY=Bangalore LOGIN_METHOD=password FAILED_LOGINS=2 NEW_DEVICE=1 VELOCITY=2.94 RESULT=OK,0
[2009-183-134 172:137:-2] EVENT=TRANSACTION USER=C1026044962 ACTION=CASH_OUT AMOUNT=5459.95 DEVICE=desktop OS=iOS BROWSER=Chrome IP=218.53.204.9 CITY=Hyderabad LOGIN_METHOD=otp FAILED_LOGINS=1 NEW_DEVICE=0 VELOCITY=0.57 RESULT=OK,0
[2026-01-06 18:00:00] EVENT=TRANSACTION USER=C1431374408 ACTION=CASH_IN AMOUNT=109384.86 DEVICE=desktop OS=Windows BROWSER=Chrome IP=176.170.205.173 CITY=Chennai LOGIN_METHOD=otp FAILED_LOGINS=2 NEW_DEVICE=0 VELOCITY=2.83 STATUS=SUCCESS,0
[2143-4-10 212:155:133] EVENT=TRANSACTION USER=C574383522 ACTION=PAYMENT AMOUNT=6600.7 DEVICE=mobile OS=iOS BROWSER=Chrome IP=179.122.250.112 CITY=Mumbai LOGIN_METHOD=otp FAILED_LOGINS=1 NEW_DEVICE=0 VELOCITY=1.94 RESULT=OK,0
[2026-01-02 09:00:00] EVENT=TRANSACTION USER=C661463663 ACTION=PAYMENT AMOUNT=2586.05 DEVICE=mobile OS=iOS BROWSER=Chrome IP=181.128.173.186 CITY=Mumbai LOGIN_METHOD=password FAILED_LOGINS=2 NEW_DEVICE=0 VELOCITY=2.0 STATUS=SUCCESS,0
